ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.275707,3.105008,0.4266899,NONE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.275723,3.105008,0.4471451,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757303,3.105008,0.4596907,NONE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757432,3.105007,0.5084369,NONE
-1,6.520895,4.611062,6.489871,4.588939,15.98894,0.2757459,3.105009,0.6134968,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757441,3.105009,0.7117466,NONE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.2757439,3.105015,0.8011336,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757437,3.10502,0.9011645,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.275744,3.105028,1.013444,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105034,1.111695,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757434,3.105034,1.21044,ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105034,1.300734,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757437,3.105034,1.400601,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.105034,1.514021,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.105034,1.610392,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105034,1.708777,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757437,3.105034,1.807176,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105033,1.90562,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105034,2.003979,NONE
-1,6.520869,4.611043,6.489899,4.588958,15.98896,0.2757436,3.105034,2.102231,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757437,3.105034,2.200332,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105034,2.312492,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.105034,2.411054,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105034,2.509231,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105033,2.607803,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105033,2.706135,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105033,2.803787,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105034,2.902263,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.105034,3.009716,ACCELERATE
-1,6.520905,4.611039,6.489862,4.588962,15.98896,0.2757139,3.196435,3.120109,ACCELERATE
-1,6.520959,4.611031,6.489808,4.588971,15.98897,0.2757017,3.393313,3.204485,ACCELERATE
-1,6.521032,4.611025,6.489735,4.588976,15.98898,0.275697,3.747278,3.303105,ACCELERATE
-1,6.521214,4.611029,6.489554,4.588973,15.98898,0.2773094,4.21864,3.401121,ACCELERATE
-1,6.521357,4.611086,6.489411,4.588915,15.98891,0.2791309,4.903943,3.513618,ACCELERATE
-1,6.521531,4.611147,6.489238,4.588854,15.98884,0.2793987,5.621224,3.612223,ACCELERATE
-1,6.521747,4.611214,6.489022,4.588788,15.98878,0.2791878,6.442991,3.71088,ACCELERATE
-1,6.521913,4.611287,6.488857,4.588714,15.9887,0.2791522,7.358088,3.809594,ACCELERATE
-1,6.522133,4.61137,6.488639,4.588631,15.98862,0.2791976,8.35146,3.907837,ACCELERATE
-1,6.522368,4.611469,6.488404,4.588532,15.98852,0.2791399,9.41922,4.006137,ACCELERATE
-1,6.522636,4.611587,6.488137,4.588415,15.9884,0.2791831,10.542,4.103548,ACCELERATE
-1,6.522913,4.611713,6.487861,4.588288,15.98825,0.2791511,11.74618,4.20291,ACCELERATE
-1,6.523268,4.611887,6.487505,4.588114,15.98809,0.2791677,12.99023,4.301312,ACCELERATE
-1,6.52369,4.6121,6.487084,4.587902,15.98787,0.2791613,14.46134,4.413354,ACCELERATE
-1,6.524094,4.612309,6.486682,4.587692,15.98766,0.2791595,15.80432,4.512455,ACCELERATE
-1,6.524539,4.612549,6.486237,4.587452,15.98742,0.2791594,17.15739,4.609856,ACCELERATE
-1,6.525014,4.612809,6.485763,4.587192,15.98715,0.2791592,18.55325,4.708253,ACCELERATE
-1,6.525528,4.613097,6.48525,4.586904,15.98686,0.2791588,19.96563,4.806054,ACCELERATE
-1,6.526084,4.613414,6.484694,4.586587,15.98654,0.2791581,21.40976,4.904548,ACCELERATE
-1,6.526676,4.613755,6.484104,4.586246,15.98619,0.2791577,22.87029,5.002925,ACCELERATE
-1,6.527304,4.614124,6.483476,4.585878,15.98582,0.279159,24.33317,5.101142,ACCELERATE
-1,6.528063,4.614573,6.482721,4.585428,15.98537,0.2791603,26.00439,5.21334,ACCELERATE
-1,6.528756,4.61499,6.482028,4.585011,15.98495,0.2791601,27.46929,5.311686,ACCELERATE
-1,6.529484,4.615431,6.481302,4.584571,15.98451,0.27916,28.93429,5.410038,ACCELERATE
-1,6.530246,4.615896,6.480542,4.584106,15.98404,0.27916,30.4053,5.508794,ACCELERATE
-1,6.531039,4.616383,6.479749,4.583619,15.98355,0.2791601,31.87456,5.607433,ACCELERATE
-1,6.509677,4.616893,6.500793,4.583109,15.98303,0.27916,33.34221,5.705963,ACCELERATE
-1,6.418782,4.617424,6.660841,4.582578,15.9825,0.2791599,34.80057,5.80387,ACCELERATE
-1,6.242424,4.617985,7.052147,4.582017,15.98194,0.2791605,36.26768,5.902364,ACCELERATE
-1,5.992021,4.607404,7.826042,4.592402,15.97995,0.27916,37.80466,6.00555,LEFT_ACCELERATE
-1,5.849524,4.574193,8.487209,4.629497,15.92514,0.2791631,39.29607,6.10582,LEFT_ACCELERATE
-1,5.982744,4.590348,7.981588,4.60887,15.70424,0.2791778,40.81892,6.209355,LEFT_ACCELERATE
-1,6.240014,4.696118,7.345208,4.507218,15.33983,0.2791854,42.17402,6.303767,LEFT_ACCELERATE
-1,6.761895,4.90445,6.336524,4.330923,14.77589,0.2792017,43.51802,6.401932,LEFT_ACCELERATE
-1,7.734174,5.306662,5.150872,4.052954,13.97958,0.2792183,44.74722,6.500706,LEFT_ACCELERATE
-1,8.943521,5.928267,4.104893,3.595345,12.9142,0.2792041,45.88004,6.605576,LEFT_ACCELERATE
-1,9.816825,6.548319,3.334197,3.025669,11.78812,0.2791869,46.81486,6.704022,LEFT_ACCELERATE
-1,-1,7.048899,2.759506,2.419418,10.61758,0.2791731,47.69747,6.802483,LEFT_ACCELERATE
-1,9.96869,7.363467,2.426706,1.948832,9.456109,0.2791646,48.59893,6.901217,ACCELERATE
-1,9.574115,7.548884,2.345402,1.658279,8.157325,0.2791615,49.65208,7.01349,ACCELERATE
-1,9.131677,7.592993,2.588692,1.612852,7.033671,0.2791606,50.58732,7.111642,ACCELERATE
-1,8.612327,7.530888,3.303875,1.745271,5.914887,0.2791605,51.53272,7.209978,ACCELERATE
-1,8.095833,7.373994,4.691274,2.010847,4.864819,0.2791598,52.42387,7.302442,LEFT_ACCELERATE
-1,7.617715,7.083421,6.914921,2.390772,3.672163,0.2791616,53.3516,7.403964,LEFT_ACCELERATE
-1,7.080888,6.751826,-1,2.854608,2.37984,0.2791632,54.24828,7.509585,LEFT_ACCELERATE
-1,6.594228,6.386963,-1,3.325132,1.236786,0.279164,54.9799,7.600747,LEFT_ACCELERATE
-1,5.968795,5.923217,-1,3.964428,-0.1663047,0.2791631,55.79973,7.709861,LEFT_ACCELERATE
-1,5.420246,5.401317,-1,4.551576,-1.508908,0.2791646,56.49643,7.811496,LEFT_ACCELERATE
-1,4.911584,4.904214,-1,5.078834,-2.803299,0.2791665,57.07004,7.906589,LEFT_ACCELERATE
-1,4.505422,4.354568,-1,5.463992,-4.166462,0.2791758,57.55173,8.003815,LEFT_ACCELERATE
-1,4.368263,3.885651,-1,-1,-5.699212,0.2791803,57.88696,8.10938,LEFT_ACCELERATE
-1,4.277237,3.626263,-1,-1,-7.142131,0.2791708,58.09351,8.207287,LEFT_ACCELERATE
-1,4.051252,3.412588,-1,-1,-8.591509,0.2791648,58.30166,8.305607,ACCELERATE
-1,3.771511,3.177949,-1,-1,-10.04047,0.279161,58.53382,8.404133,ACCELERATE
-1,3.464565,2.913387,-1,-1,-11.61668,0.2791601,58.79977,8.511454,LEFT_ACCELERATE
-1,3.348806,2.696469,-1,-1,-13.04291,0.279163,58.98079,8.60806,LEFT_ACCELERATE
-1,1.334751,0.9819757,-1,-1,-14.51066,0.2791829,59.00611,8.706846,LEFT_ACCELERATE
-1,2.695966,2.069456,-1,-1,-15.95545,0.2791917,58.83606,8.80477,LEFT_ACCELERATE
-1,6.429389,5.602689,5.911311,3.208628,-17.46695,0.2791965,58.42151,8.910336,LEFT_ACCELERATE
-1,6.22162,5.873024,8.05532,3.852386,-18.82407,0.2791824,57.87202,9.008787,LEFT_ACCELERATE
