ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757135,3.105008,0.4339519,NONE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757266,3.105008,0.4532575,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757325,3.105008,0.4654253,NONE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757436,3.105008,0.5135471,NONE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.2757457,3.105009,0.6209692,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757445,3.105012,0.7119931,NONE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.275744,3.105021,0.8101358,NONE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757438,3.105028,0.908816,NONE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757437,3.105035,1.007201,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757434,3.10504,1.105606,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105046,1.203594,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105053,1.301505,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757434,3.105053,1.41353,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.105053,1.511239,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,1.609673,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,1.708363,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,1.807087,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,1.904923,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105054,2.003585,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757437,3.105054,2.102018,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757437,3.105053,2.200325,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,2.312711,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,2.410772,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,2.509469,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.105053,2.607838,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,2.705818,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,2.803694,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,2.901591,NONE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.105053,3.006602,ACCELERATE
-1,6.520888,4.611039,6.489878,4.588962,15.98896,0.2757219,3.163913,3.118661,ACCELERATE
-1,6.520939,4.611031,6.489828,4.588971,15.98897,0.2757057,3.326851,3.202754,ACCELERATE
-1,6.521007,4.611023,6.489761,4.588978,15.98898,0.275698,3.641706,3.30085,ACCELERATE
-1,6.521204,4.611029,6.489564,4.588973,15.98898,0.2808374,4.149596,3.412349,ACCELERATE
-1,6.521394,4.611064,6.489375,4.588937,15.98893,0.2797899,4.723115,3.51104,ACCELERATE
-1,6.521528,4.611128,6.489241,4.588873,15.98886,0.2794572,5.409074,3.609353,ACCELERATE
-1,6.521675,4.611193,6.489095,4.588809,15.9888,0.2790204,6.190369,3.706637,ACCELERATE
-1,6.521857,4.611261,6.488913,4.58874,15.98873,0.2793033,7.077611,3.80531,ACCELERATE
-1,6.522062,4.611341,6.488709,4.58866,15.98865,0.2790881,8.050734,3.903942,ACCELERATE
-1,6.522291,4.611435,6.488482,4.588566,15.98855,0.2792197,9.092502,4.001847,ACCELERATE
-1,6.522547,4.611545,6.488225,4.588457,15.98844,0.2791304,10.20961,4.100407,ACCELERATE
-1,6.522883,4.611699,6.48789,4.588302,15.98828,0.2791597,11.55,4.212202,ACCELERATE
-1,6.52321,4.611857,6.487564,4.588144,15.98812,0.2791615,12.78724,4.310709,ACCELERATE
-1,6.523575,4.612041,6.487199,4.587961,15.98793,0.2791615,14.07177,4.409307,ACCELERATE
-1,6.523973,4.612247,6.486802,4.587755,15.98772,0.2791594,15.39121,4.507506,ACCELERATE
-1,6.524402,4.612474,6.486374,4.587527,15.98749,0.27916,16.74921,4.605972,ACCELERATE
-1,6.524905,4.612749,6.485872,4.587252,15.98721,0.279159,18.23575,4.711318,ACCELERATE
-1,6.525414,4.613033,6.485363,4.586968,15.98693,0.2791587,19.65485,4.80996,ACCELERATE
-1,6.525963,4.613345,6.484816,4.586658,15.98661,0.2791585,21.09003,4.908159,ACCELERATE
-1,6.526543,4.613678,6.484237,4.586324,15.98627,0.2791582,22.55515,5.007075,ACCELERATE
-1,6.527169,4.614044,6.483611,4.585957,15.9859,0.2791586,24.01386,5.105014,ACCELERATE
